상세시설ID,상세시설명
301,"2층 대회의실, 4층 다목적강당"
302,본관 1층 특수교실
303,3~5층 교실
304,"2층 작은도서관, 2층 문화사랑방, 3층 회의"
305,B동 4~5층 체육관
306,교육문화센터 4층 체육관
307,7층 강당
308,1층 본관
309,귀인문화복지센터 4층 다목적실
310,2층 다목적 체육관
311,"1층 다목적 체육관, 1~5층 교실"
312,4층 다목적 강당
313,"1층 민원실, 2층 회의실, 3층 다목적실,"
314,교실 1~3층
315,경기도립노인전문 동두천병원
316,교실 전체
317,본관 교실 전체
318,"2층 생활체육실, 4층 대회의실"
319,동관동 체육관
320,체육관 소피아홀
321,강당동 3층
322,1층 교실 일부
323,1층 남자경로당
324,2층 대강당
325,1층 강당
326,4층회의실
327,생활관
328,"4층 다목적강당, 3층 체력단련실"
329,1층 경로당
330,경기장
331,4층 회의실
332,예절관
333,4층 다목적강당
334,"4층 체력단련실, 5층 대회의실"
335,상담실
336,"4층 강당, 3층 다목적실"
337,"태양관,바다관"
338,갈매중학교 교사동 1층
339,"체육관,급식실"
340,본관 및 별관
341,다목적 당당
342,도서관
343,교육관(3층)
344,관공서
345,교사동내(다목적실)
346,병원
347,2층 예배당
348,복합문화센터(강당)
349,체육관 지하1층
350,강당 등
351,"다목적실, 숙소"
352,공공청사
353,2층 배드민턴장
354,3층 시청각실
355,2층 문화교실
356,강당(6층)
357,대강당(2층)
358,2층 소회의실
359,대회의실
360,순창쉴랜드하우스(숙박동)
361,연수시설
362,다목정강당
363,3층 대회의실(대강의실)
364,3층 세미나실
365,"동아리방, 세미나실"
366,산학문화관 2층세미나실
367,강당 겸 체육관
368,테니스장(1층)
369,4층 강당(다목적실)
370,1층 강당(생활체육실)
371,"1층 체육관, 회의실 및 다용도실"
372,"1층 다목적실, 2층 프로그램실"
373,전체시설
374,다목적회관
375,고늘관
376,오션뷰 호텔 객실
377,백구관
378,2층 보건교육실
379,"1층 소리교실, 2층 건강교실"
380,본관 1층
381,1층 프로그램실/다목적홀
382,1층 다목적실
383,세미나실 등
384,강당 3층
385,굿모닝호텔 객실
386,"2층 대강당,프로그램실"
387,"2층대왕암홀, 1층바드래홀"
388,"2층다목적실, 3층강당"
389,체육관(명지관)
390,공연장 연습실
391,인터넷모텔
392,세화모텔
393,별관2층 체육관(군붕관)
394,2인실 43호
395,1층 체육관 (금강관)
396,별관2층 강당(원예관)
397,2인실 45호
398,숙박시설
399,강당(별관 솔마루))
400,1층 소망홀
401,4층 강당(아시아드 홀)
402,별관외 건물 강당(신나래관)
403,3층 강당(안진관)
404,동역관 3층(체육관)
405,J동 2층 수영장형 강당
406,2층 강당(희망관)
407,2층 다목적교실(한빛관)
408,2층 강당(꿈마루관)
409,2인실 38호
410,"2,3층 회의실"
411,2층 다목적교실(날뫼누리관)
412,"1,2,5층"
413,1층 다목적교실(서대구관)
414,숭인1동주민센터3층
415,4층강당
416,프로그램실
417,"3층, 다목적실"
418,"지하1층, 어울림방"
419,민간숙박업소
420,2층 다목적교실(달인관)
421,강당 4층
422,교육장
423,급식소동/다목적강당
424,급식동 1층
425,미래관
426,신관동
427,다목적강당(어울채)
428,"지하1층, 다목적실"
429,식당동
430,대강당/체육관
431,어련당
432,"본관동2층, 강당"
433,"4층, 다목적실"
434,"1층,다목적실(지하강당)"
435,"3층, 다목적방"
436,"2층, 다목적실"
437,"1층, 체육관"
438,"2층, 3층"
439,"프로그램실-1(2층), 강당(3층)"
440,다목적실(3층)
441,"숙박실, 체육관, 다목적실"
442,교사2동/후관동
443,다목적강당(5층)
444,대강당(5층)
445,다목적실(4층)
446,"2층, 회의실"
447,강당 겸 체육관동
448,문화관(체육관)
449,"5층, 독서당"
450,"음악연습실, 스포츠댄스실"
451,서울주문화센터(2층전시실)
452,문화복지시설
453,"5층, 다목적방"
454,"본관동2층, 체육관"
455,화양동주민센터
456,광장동주민센터
457,삼남초등학교
458,2층 강당(일석헌)
459,별관 3층 강당(라온누리)
460,별관2층 강당(해랑관)
461,2층 강당(꿈나무)
462,2층 다목적교실(나래관)
463,2층 청운관
464,5층 대회의실
465,봉화관
466,체육관(동원마루)
467,종합정보관
468,도서관 건물
469,별관 2층 강당(충비관)
470,별관 2층 강당(안락마루)
471,별관 2층 강당(청운관)
472,지하1층
473,정보화동 3층 강당
474,지하2층
475,신관
476,다우리관
477,체육관(봉화관)
478,청사 본관
479,체육관 1층
480,체육관 및 특별교실
481,서관동
482,광양관동
483,온누리관
484,교육정보관동
485,교사(본관동)
486,다목적홀
487,"본관동(체육관), 교실"
488,본관 후관
489,"교실, 체육관"
490,전관(교실)
491,자양2동주민센터
492,"교실,체육관"
493,교실
494,다목적강당 1층
495,"1층, 2층"
496,한갓관
497,스파뷰호텔
498,수덕꿈나래 강당
499,마을공동시설
500,지하1층 대피소
501,장례식장
502,행복학습교실
503,"객실(내진적용은 155㎡, 127명)"
504,다목적강당(1층)
505,"문화강좌실, 숙소"
506,강당(본관3층)
507,식당
508,야구부생활관(2층)
509,지하1층 다목적 강당
510,"4층 대강당, 소강당"
511,다목적강당(2층)
512,2층 교육장
513,별관
514,"강당1,교실40"
515,교실31
516,5층 회의실
517,급식시설
518,"동관, 서관"
519,3층 종합체육관
520,교사동(E동)
521,남관
522,지하2층 체육관
523,급식소 및 다목적 강당
524,대회의실(안전교육장)
525,체육관(별관3층)
526,다목적강당(3층)
527,체육관(별동2층)
528,체육관(별관)
529,목향관
530,기숙사
531,음악관
532,무궁화관
533,본관동 강의실
534,수련원
535,예지관
536,교육연구시설
537,배드민턴장
538,선산청소년수련관 생활관
539,돌봄교실
540,남기숙사
541,별관동
542,매화어울관
543,A동(교사동)
544,D동(기숙사)
545,급식소 및 강당
546,후관
547,급식소 1층
548,기숙사(빛솔관)
549,전자기계실습동
550,"강당 2,3층"
551,교육공동체실
552,수성관(체육관)
553,교사1호동(본관) 2층
554,체육관(3층 다목적강당)
555,3층 다목적홀
556,실내승마장
557,지하 강당
558,구관
559,체육관(양산관)
560,수덕관(신축 기숙사)
561,다목적강당(슬기관)
562,다목적강당(북마루관)
563,"에어로빅,휴게실"
564,다목적강당(천마관)
565,금산여고강당동
566,금산종합체육관
567,금산군 배드민턴장
568,이슬공원 생활체육관
569,5층(28실)
570,5층(31실)
571,"방갈로(5동),펜션(2호)"
572,군북초강당동
573,상곡초본관교사1
574,상곡초급식동
575,상곡초교사2
576,남일초급식실동
577,남이초급식실동
578,금산인삼호텔
579,금산군 테니스장
580,금산초본관교사
581,금산동중본관교사
582,산업고강당
583,금산여중급식실동
584,금산여고 교사동1-2
585,리베라모텔
586,"강당, 교실"
587,부여국민체육센터
588,숙박시설 지상 10층
589,숙박시설 지상2층
590,"2층강당, 2-4층 생활관"
591,강당(장암꿈나무관)
592,별관 강당
593,"실내체육관(1,3층)"
594,제원중본관교사
595,부리초급식실동
596,용문초다목적강당
597,강당(교사시설내 2층)
598,기계과 실습동 3층
599,본관 체육관
600,신암면복지회관
601,스플라스리솜
602,2층회의실
603,완도초등학교 다목적강당
604,문화예술의 전당
605,완도수고 수산교육관
606,완도고 본관
607,금일초 다목적강당
608,노화고다목적강당
609,넙도초다목적강당
610,생영초다목적강당
611,더베네치아스위트호텔
612,교사동 다목적 강당
613,다목적체육실
614,장미관동 3층 강당
615,지하1층 강당
616,객실 31개
617,체육관(다목적실)
618,2동 116호
619,334동 1층
620,객실 18개
621,농구장
622,호텔
623,762동 1층
624,1111동 1층
625,경로당 1층
626,숙박동
627,2216동 1층
628,아이스 아레나
629,"다목적실, 예절실"
630,문화센터
631,체험연수센터 객실동
632,2507동 1층
633,2406동 1층
634,본관전체
635,본관1층 지하
636,본관 2층 강당
637,다목적실(봉래관)
638,강당(웅비관)
639,정보센터동 4층 강당
640,건지관
641,지하강당
642,경로당(204동)
643,경로당(1902동)
644,별동 체육관
645,경로당(906동)
646,라동 체육관
647,목마홀(6층)
648,107동 1층
649,108동 1층
650,교사동 1층 강당
651,복합정보센터 내 강당
652,교사시설(2층)
653,다목적홀(4층)
654,경로당 1~2층
655,체육관 겸 정보화관(2층)
656,가동 강당
657,삼성현관
658,4층(24실)
659,6층(32실)
660,체육관 및 강당
661,다목정강당(나래관)
662,"본관 1층, 2층"
663,청운관 2층 강당
664,2~8층
665,노인복지회관
666,신관 3층 강당
667,선수합숙소
668,생활체육관
669,생활실
670,동사무소
671,한아름초등학교 체육관
672,예배당
673,종합교육관
674,본관 4층
675,"강당,다목적실"
676,예배실
677,"2,3층"
678,요양원
679,본관(2층)
680,학교
681,복지회관
682,강당1층
683,채육관
684,급식소동
685,강당 및 급식실
686,급식실동 및 기숙사동
687,건강센터
688,교육지원청 wee센터
689,본관(1동) 및 유치원동
690,강당동 2층
691,강당(인의관)
692,문화예술회관
693,창의예술동
694,회진초등학교 본관동
695,다목적
696,2층(여) 및 3층(남)
697,남악주민다목적생활체육관
698,다목적강당(삼향관)
699,체육관(하림관)
700,강당(몽성관)
701,무안생태갯벌과학관
702,다목적강당(영성관)
703,함양국민체육센터
704,서면종합복지회관(2층)
705,본관 2층
706,운림1리마을회관
707,지곡면사무소 대회의실
708,함양군기관단체청사
709,함양 종합사회복지관
710,함양 문화예술회관
711,"3층 건물, 다목적실"
712,2층대회의실
713,"교사동, 체육관, 기숙사"
714,후관동 2층 다목적실
715,객실 25
716,체육관H동
717,e편한세상 광주역 4단지 경로당
718,"강당, 체육관"
719,다목적 체육관
720,대광로제비앙(아)경로당
721,쌍령서희스타힐스 경로당
722,경기도차오름터학생수영장
723,"강당, 체육관(지혜관)"
724,체육관 (2층)
725,학습실
726,송산초등학교 체육관
727,병실
728,소규모체육관
729,다목적교실 및 태권도훈련장
730,"다목적실, 체육관"
731,펜싱연습장
732,수성구청소년수련원
733,주민센터
734,대건학사기숙사동
735,기숙사동
736,강당체육관
737,"강당, 교사D동"
738,베네치아 모텔
739,종교시설
740,체력단련장
741,"본관, 강당"
742,급식소 및 다목적교실
743,숭문관
744,전일관
745,급식소및다목적교실
746,다목적교실 및 급식소
747,종합학습실
748,수성국민체육센터
749,강당동-한솔관
750,급식소 및 다목적강당
751,특별교실동
752,교사
753,"호텔(로비,식당,예식장)"
754,다목적실(재능관)
755,본관(A동 교사동)
756,본동
757,"강당, 교사시설 등"
758,본관동 객실
759,노인복지시설(경로당)
760,"교사1동(나동,다동)"
761,"1, 5층"
762,응급실
763,기타
764,본관 강당
765,관공서/다목적실
766,2층 다목적홀
767,교사시설
768,"강당, 소강당"
769,급식실/다목적강당
770,"강당, 급식시설, 교사시설 등"
771,1층 다목적체육센터(대강당)
772,1 체육관
773,어울림행복누리터 본관
774,과일나라테마공원학습관
775,본관 5층 체육관
776,강당(본관동 2층)
777,교사1~3호동/강당(3층)
778,교사1~3호동/강당(2층)
779,"교사동,본관동,특별교실동,강당(2층)"
780,다목적강당(F동 2층)
781,강당(신관 5층)
782,"교사1~2동,강당(3동 2층)"
783,강당(4동 2층)
784,용유초 교사동
785,다목적 체육관(3층)
786,체육관(지하 2층)
787,"교실, 강당"
788,"교실, 체육관, 강당"
789,"교실,급식소"
790,양천디지털미디어센터
791,1층 전시실
792,교사동(체육관)
793,교사1동(신관)(3층)
794,체육관 및 급식실
795,교사2동(3층)
796,강당 겸 체육관(2층)
797,후관(BTL)-교사동(체육관1층)
798,정보관(체육관)(2층)
799,체육관 겸 다목적강당(3층)
800,다목적 강당(2층)
801,체육관2층
802,불광관(다목적강당)
803,성전
804,신관4층체육관
805,1층 유치원 3교실
806,수락관
807,다목적체육관 3층
808,4층 대강당 및 경로식당
809,별관 2층 체육관
810,금곡실내체육관
811,본관동 식당 2층
812,"강의실1,2"
813,100년 상상관
814,종합운동장
815,소체육실
816,음악당
817,교사1동 체육관
818,"본관 1, 2, 3, 4층"
819,물향기센터 2층 체육관
820,스포츠센터 2층 다목적강당
821,"1층로비, 4층 강당, 지하 체력단련실"
822,본관2층 체육관
823,교사동 체육관(늘푸른희망관)
824,교사동 3층 체육관
825,교사동 체육관
826,본관3층 다목적강당
827,키움관 2층 체육관
828,체육관(주차장건물2층빛가람관)
829,3층 자유관 체육관
830,교사동 2층 다목적강당
831,강당(1층)
832,대회의실(5층)
833,대강당(1층)/다목적실(2층)/공연장(3층)
834,다목적체육관(2층)
835,다목적실(3층)/회의실(!층)
836,교사동2 2층강당
837,체육관동 다목적체육관
838,"교사나동 축구부생활관 1,2,3층"
839,1층 급식실
840,지하1층 다목적실
841,1층 별관 체육관
842,교사동 3층 다목적강당(체육관)
843,2층꿈나래관(체육관)
844,1동 2층 실내체육관
845,교사동 은빛누리관 2층 체육관
846,교사동 2층 어울관(체육관)
847,교사동 3층 다목적강당
848,덕풍3동 행정복지센터 3층다목적실
849,본관3층 체육관
850,감일동행정복지센터6층
851,"4층 다목적실, 5층 체육관(삼색관), 5층"
852,교사2동 1층 체육관
853,본관동 3층 다목적강당
854,1동 2층 다목적강당
855,고림1·10통 경로당
856,소회의실(지하1층)
857,고림4통 경로당
858,5층 다목적실
859,한강골드호텔
860,창조관 대강당
861,구일관 체육관
862,경로당(1~3층)
863,체육관(교사동 3층)
864,다목적강당(체육관동 3F)
865,롯데시티호텔
866,제이에스호스텔
867,고산마루
868,"대체육관, 다목적실 유도장"
869,신관4층 체육관
870,대체육관
871,후관 4층 다목적실
872,동관 2층 강당
873,꿈마루 1층 체육관
874,4층 나곡홀
875,강당(다목적실)
876,관리동 지하2층 경로당
877,관리동 1층 경로당
878,3층 서그내 강당
879,2층 체육관(강당)
880,1층 다목적강당
881,1층 청민실
882,체육동
883,5층 동백관
884,체육관(본관3F)
885,특별교실동(늘솔채)2층
886,회의실(4층)
887,경로당(1층)
888,대체육관(5층)
889,다목적강당(본관동 2층)
890,다목적강당(다목적강당동)
891,경로당(2층)
892,체육관(체육관동 1층)
893,체육관(정보화동 3층)
894,체육관(본관동4층)
895,다목적강당(3F)
896,브릿지호텔(유동적)
897,체육관(우신관 2층)
898,다목적회의실(2층)
899,어울림실(교사동 1층)
900,대체육관 (3층)
901,"나사렛실(지하1층), 유아실(2층)"
902,급식실(늘새롬관 2~3층)
903,강당동(본관3층)
904,경로당(2~3층)
905,체육관(정보동 4층)
906,체육관(강당동 2층)
907,다목적강당(강당동 3층)
908,"다목적실,휴게실(지하1층)"
909,다목적체육관(비전센터6층)
910,다목적강당(본관동4층)
911,다목적강당(체육관동 2층)
912,소공연장(5F)
913,하이서울유스호스텔(유동적)
914,"강당, 식당"
915,청룡관동(강당)
916,소강당(교사동 지하2층)
917,"강당(2층, 4층)"
918,"다목적 강당, 급식실"
919,"교실, 체육관 등"
920,"도서관,컴퓨터실,과학실"
921,다목적체육관(2층 강당)
922,1층 소회의실
923,지하1층 갤러리
924,상현3동행정복지센터 회의실
925,별관 체육관/1층
926,체육관 2층 강당
927,3층 성덕관
928,"5층 다목적실, 강당"
929,숙소 및 강당
930,신둔실내체육관
931,"체육관, 교실, 강당"
932,한반도관(생활관)
933,삼성관
934,배트민턴장
935,체험실
936,주민자치센터
937,2층 프로그램실
938,1층 마을회관
939,1층 다목적회의실
940,"급식실, 다목적실"
941,다목적 교실
942,다목적 교실 및 급식소
943,노인정
944,산척면 행정경로당
945,산척면 서곡경로당
946,"강의실(9개소), 객실(136개소)"
947,8층 강당
948,진천중학교 다목적교실(체육관)
949,초평초등학교 체육관
950,구정초등학교 다목적교실
951,문상초등학교 강당
952,문백초등학교 강당
953,이월중학교 다목적교실
954,광혜원고등학교 본관
955,광혜원고등학교 다목적교실
956,만승초등학교 본관
957,광혜원LH2단지경로당
958,옥동초등학교 강당
959,"본관,체육관"
960,체육관(동녘관)
961,게이트볼장
962,상황실
963,2층 세미나실
964,"감곡초등학교 본관, 후관 교실, 강당"
965,평곡2리마을회관
966,한천초등학교 다목적교실
967,음성문화예술회관 공연동 1층
968,금왕보건지소 본관
969,금왕읍행정복지센터(본관)
970,프로그램실/ 건강증진실
971,급식소 및 다목적 교실
972,"급식시설, 교사시설 등"
973,16동 목련관
974,강당(G동)
975,별관 체육관
976,한벌2리경로당
977,문암3리 경로당
978,축구센터
979,장승포라온호텔
980,파우제호텔
981,교사시설(본관)
982,10인실 객실
983,체육관(강당)
984,강당(별동)
985,금산고본관교사
986,금산고급식실동
987,"교실,강당"
988,"강당,교실"
989,금산동초본관교사
990,교사1동
991,체육관(한마음관)
992,"강당, 다목적실"
993,대회의 실 등
994,서관동 3층 강당
995,교육문화관 체육관
996,주차장 2층
997,별관 체육실 1층
998,서관동 강당
999,다목적실(본관)
1000,급식/강당
1001,강화여자중학교 본관
1002,동광중학교 해오름관
1003,"2층 안심마을경로당,3층마을그늘터"
1004,"지층, 2층"
1005,"2층 소회의실, 3층 대강당"
1006,"기숙사(2층, 6층)"
1007,28실
1008,교사(별관동)
1009,강당/체육관
1010,2층-4층
1011,"본관 2층, 별관 2층"
1012,3층-4층
1013,"1층 대회의실, 2층"
1014,"2층, 4층"
1015,3층 다목적 체육관
1016,교사2호동 1층
1017,급식시설동
1018,1층 다목적 체육관
1019,"본관, 체육관"
1020,"본관, 강당 등"
1021,"본관, 체육관 등"
1022,본관2층
1023,강당(4동)
1024,본관 대회의실
1025,교육관
1026,대회의실(3층)
1027,소규모강당
1028,실습동 5층 다목적강당
1029,10층(45실)
1030,10층(40실)
1031,대강의실
1032,강당(별개)
1033,본관 내 강당
1034,본관 지하1층
1035,본관1층
1036,본관 다목적강당(3층)
1037,유치원동
1038,강당(천봉관)
1039,B동(강당동)
1040,"급식소, 다목적강당"
1041,기타시설
1042,본관3층 대강당
1043,"본관동(1, 2층)"
1044,강당(석암홀)
1045,"급식소, 강당동"
1046,육상보조경기장 및 트레이닝시설
1047,숲속의집
1048,교사2동
1049,후관동(3층 강당)
1050,본관동(4층)
1051,본관동(지상2층체육관)
1052,A동
1053,다목적실(별관)
1054,다목적강당(체육관)
1055,사택(교사동)
1056,실내 테니스장
1057,1층 복합체육관
1058,2층 대체육관
1059,대체육관 3층
1060,관청5리 다목적회관
1061,"4,5층"
1062,3층 다목적체육관
1063,
1064,특수학급동
1065,"식당, 체육관 등"
1066,다모임관(강당)
1067,한빛관
1068,과학동
1069,부산진구국민체육센터
1070,솔빛관강당
1071,"효봉관,선화관"
1072,교사동 1층
1073,1층 대체육관
1074,다목적실 1층
1075,다목적관
1076,체육관(신동교육문화회관)
1077,공연장
1078,다목적실(미술실)
1079,반포4동주민센터
1080,미성관
1081,소흘국민체육센터
1082,본관동(강당)
1083,양재1동주민센터
1084,"지축관,예체능관"
1085,집단프로그램실
1086,"강당,식당"
1087,"체육관,교실"
1088,지하 유희실
1089,본관대강당
1090,한빛관 2층 강당
1091,4층 이벤트홀
1092,6층 대회의실
1093,7층 회의실
1094,"교실24, 체육관1"
1095,"급식실1, 체육관1, 교실64"
1096,"교실42, 강당1"
1097,강당1
1098,"교실45, 강당1"
1099,지하층
1100,양재2동주민센터
1101,오라카이 청계산 호텔
1102,"회의실, 체육관"
1103,체육교실(5층)
1104,교육문화회관(체육관)
1105,강당동(체육관)
1106,삼성재
1107,생활체육교실
1108,체육교실
1109,체육관 (해오름관3층)
1110,다목적 강당 등
1111,"체육관, 교실"
1112,"교사동, 다목적강당"
1113,G동
1114,"체육관, 급식실"
1115,본관(4층 예절실)
1116,5층 다목적강당
1117,본관(교사동)
1118,교사신관동(강당)
1119,한마음관(강당)
1120,대진생활관(체육관)
1121,백주념기념관(체육관)
1122,체육관(4층)
1123,용추관
1124,"교실51, 강당1"
1125,"다목적강당, 급식실"
1126,1층 찜질방
1127,1층 실내체육관
1128,1층 및 3층 강당
1129,1층 아동자료실 및 휴게실
1130,1층 희망극장
1131,2~3층
1132,일동체육문화센터
1133,시립소흘도서관
1134,1~2층
1135,3병동
1136,보훈회관
1137,교실 등
1138,금구초등학교 체육관
1139,고실초등학교 체육관
1140,광주여자대학교 시립유니버시아드 체육관
1141,세미나실
1142,본관(5층 다목적 교실)
1143,"본관, 다목적 강당"
1144,강당 및 생활관
1145,신관 4층 다목적홀
1146,선운중학교 체육관
1147,정광고등학교 체육관
1148,어룡초등학교 체육관
1149,4층 배드민턴장
1150,첨단초등학교 체육관
1151,첨단중학교 체육관
1152,월봉중학교 체육관
1153,체육관(어울마루 3층)
1154,다목적교실(해찬나래)
1155,다목적교실(청풍마루)
1156,"1층다목적실,2층 회의실"
1157,수문초등학교 체육관
1158,신창중학교 체육관
1159,본관 1층~5층
1160,1층 체육관(별관건물)
1161,1~2층 체육관(별관건물)
1162,"체육관(해솔관, 별관건물)"
1163,다목적실 등
1164,다목적체육관 등
1165,에코롯지 숙박동
1166,혜화홀 3층
1167,예지관 체육관
1168,제천체육관
1169,기성종합복지관
1170,"1층 체육관(솔빛관, 별관건물)"
1171,"2층 체육관(해솔관, 별관)"
1172,1층 체육관(다누리관)
